location,count
"Electro, Şahkapısı Sokağı, Kuledibi, Bereketzade, Bereketzade Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34421, Türkiye",1
Việt Nam,1
"The Overwhelming World of Desire, Bismarckstraße, Iserlohn, Märkischer Kreis, Nordrhein-Westfalen, 58636, Deutschland",1
"Rewire, 25, Hauptstraße, Altstadt, Heidelberg, Baden-Württemberg, 69117, Deutschland",1
"Partially Re-worked Slimes Dam, Matlosana Ward 1, Matlosana Local Municipality, Dr Kenneth Kaunda District Municipality, North West, South Africa",1
"Cacao, Roura, Cayenne, Guyane, 97352, France",1
"Comfort Zone, 5324, Dundas Street West, Islington, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 1B4, Canada",1
"Husband, Somerset Township, Somerset County, Pennsylvania, 15501, United States",1
"Abitur 2020, Silcherweg, Hemsbach, VVG der Stadt Hemsbach, Rhein-Neckar-Kreis, Baden-Württemberg, 69502, Deutschland",1
"Aiden, Wittibreut, Landkreis Rottal-Inn, Bayern, 84384, Deutschland",1
Italia,1
"Mannheim, Baden-Württemberg, Deutschland",1
"Rev Discos, St Mary's Street, Caher, The Municipal District of Cahir — Cashel, County Tipperary, Munster, E21 P236, Éire / Ireland",1
"London Borough of Hackney, Greater London, England, United Kingdom",1
"Atzenbach, Häg, Häg-Ehrsberg, Verwaltungsgemeinschaft Zell im Wiesental, Landkreis Lörrach, Baden-Württemberg, 79685, Deutschland",1
"Back Street Cocktail Bar, 13, Hagenmarkt, Mitte, Braunschweig, Niedersachsen, 38100, Deutschland",1
"Stroked Ego, 131, Bank Street, Centretown, Somerset, Ottawa, Eastern Ontario, Ontario, K1P 5N7, Canada",1
"Somatic Court, Sunstone, North Port, Sarasota County, Florida, United States",1
"Mabey, Téra, Tillabéri, Niger",1
"Drane infront of Bolika House, দৌলতখান উপজেলা, ভোলা জেলা, বরিশাল বিভাগ, 8310, বাংলাদেশ",1
"Toledo, Castilla-La Mancha, España",1
"Albeit Alarabi, 26, Chase Road, Park Royal, London Borough of Ealing, London, Greater London, England, NW10 6QN, United Kingdom",1
"Bhai, Kangra, Himachal Pradesh, 176037, India",1
"Any Thing, 453, Rogers Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11225, United States",1
"San Diego, San Diego County, California, United States",1
"Academia Teológica da Graça de Deus, 9, Largo dos Aflitos, Dois de Julho, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40060-030, Brasil",1
"Corona, Riverside County, California, United States",1
"The World Turned Upside Down, Sheffield Street, St Clement Danes, Holborn, Southwark, City of Westminster, Greater London, England, WC2A 2HT, United Kingdom",1
Deutschland,1
"Overview, Cranberry Lake, Byram Township, Sussex County, New Jersey, 07821, United States",1
